Type Of Card,ID,Top Ability Name,Top Ability Target,Top Ability Duration,Top Ability Die Roll/Scaler,Top Weapon Or Influence,Top Ability Rules,Top Ability Following Card Action,New Card Names,Robin's Thoughts,Ory's Thoughts,Bottom Ability Name,Bottom Ability Target,Bottom Ability Duration,Bottom Ability Die Roll/Scaler,Bottom Weapon Or Influence,Bottom Ability Rules,Bottom Ability Following Card Action,Passives,Requirements,Stat Requirements,Additional Requirements,New Card Names,Robin's Thoughts,Ory's Thoughts,
Tier 1,1,Nurture Nature,Area,1 Day,X is your Level * 5,Influence,Summon a plant that is 5 feet wide and up to X feet long or tall.,Discard,"Empowered Fertilizer/Quick Maturation/Abridged Development/Quick, Harvest!","should specify, grow an existing plant? Or do we want plants growing in even sterile environments?",,Earthen Sculpture,Area,Day,Roll Influence for X    Y is your Level,Influence,Summon a 5 foot thick wall that is  X *5 feet long and Y feet tall.,Exhaust,2 Level Points,N/A,0,n/a,"Earthen Wall/Ground Defense/Spawn Wall/Earth, Defend!",should the range be a static 5/10 feet? Most of the time it'll be non-divisible by 5 anyway,,"character's that are bad for squib: new lines,the dot dot dot single character, commas"
Tier 1,2,Revive,Ally,Instant,X is your Level,Influence,Target is revived from a downed state and then they heal up to X.,Exhaust,x,x,,Mend The Masses,Ally,Instant,Roll Influence for X    Y is your Level,Influence,Heal up to X different Targets for up to Y each.,Discard,2 Level Points,N/A,0,n/a,x,x,,
Tier 1,3,Thoughtful Strike,Enemy,Instant,Attack,Weapon,You may return a card from discard to your hand.,Discard,Heedful Strike/Meditative Attack/Deliberative Hit/Setup Strike,x,,Recollection of Events,Self,Instant,,-,You may return up to 3 cards from discard to your hand.,Exhaust,2 Level Points,N/A,0,n/a,Coalescing Thoughts/Reconsider Plans/Reflecting Moment/Building a Plan,kinda feels underpowered for an exhaust. Maybe make it 4 cards?,,
Tier 1,4,Inspection,Enemy,Instant,,Influence,You may move a Contact Token or a Mark token from the Target  to another Target Enemy.,Hand,Recalibrating/Reorient Focus/Refocus/Redirect Attention/Reprioritize,moving a single token--even if this card returns to hand--feels exceptionally weak__maybe move up to 2 tokens,,Pinpoint Punishment,Enemy,Instant,Attack    X is your Level,Weapon,Add X to your Attack Roll against the Target.,Discard,2 Level Points,N/A,0,n/a,x,This feels too boring-It's the kind of thing I'd always want to be playing if I had the choice--it's just a good Attack__Doesn't relate to pinpoint at all--because there's not cost to try and focus--it feels like making a called shot but without any challenge___maybe contested Influence to get the extra damage,,
Tier 1,5,Flip,Enemy,Instant,Attack,Weapon,Topple Target if damage from your Attack is dealt.,Discard,x,x,,Out,Enemies,1 Round,Attack ,Weapon,For each completed Attack Action made against you you may make an Attack Action in return.,Exhaust,2 Level Points,N/A,0,n/a,x,x,,
Tier 1,6,Mockery,Enemy,1 Round,Influence    X is your Level,Influence,On success the Targets next roll of any kind is reduced by X.,Hand,Making a Mockery/Derision/Belittling Jeer,"like destiny swap, but requires succeed Influence, and reduces by x instead of Mn.
maybe needs to last more rounds. Acutally what I like better, make all their rolls reduce by X instead of just the first",,Encourage,Ally,1 Round,Roll Influence for X,Influence,The Target adds X to their next Attack or Defense Value.,Hand,2 Level Points,N/A,0,n/a,Heartening Motivation/Fostering Hope/Grant Inspiration,x,,
Tier 1,7,Takedown,Enemy,Instant,Attack    Roll Influence for X Roll * 3,Weapon,If the Target ia Marked you may add X to the Attack Value and then remove the Mark.,Discard,x,x,,Setup,Enemy,Instant,Attack ,Weapon,If your Attack Value Suceeds then Mark that Target.,Discard,2 Level Points,N/A,0,n/a,x,x,,
Tier 1,8,Altered Form,Self,X Rounds,Roll Influence for X    Y is your Level,,Transform into similar-sized creature. Choose to add X to your Defense Values or your Attack Values. After X Rounds lose Y Health. ,Discard,x,"similar to encourage but is top, applies to self, lasts multiple rounds, lose level in health, and discards instead of to hand; similar to pay to protect but add Influence instead of level, and lasts longer",,Transmute,Self,X Rounds,Roll Influence for X    Y is your Level,-,"Summon either:     Large Plant [all die are your Influence die, its Attack range is 5ft, its health is X,  and it has no movement]     Medium Creature [Its Attack Dice are two Xs, its Defense Die is X, its range is 5ft, its health is Y, and its movement is 20ft]",Exhaust,2 Level Points,N/A,0,n/a,Summon Nature/Countryside Assistance,"we should probably create a shorthand for summoning rule. if the doc describes the format, like how it describes the discard/exhaust/handedness, we could get some consistency and keep these rules concise",,
Tier 1,9,Pay to Punish,Enemy,Instant,Attack    X is your Level,Weapon,Attack Target up to X times and then lose X health per Attack you make.,Exhaust,x,x,,Pay to Protect,Self,1 Round,X can between 0 and your Level,-,Lose X health points and then add X to each Defense Value you roll.,Discard,2 Level Points,N/A,0,n/a,x,"similar to Encourage but costs health, adds level instead of Influence, only can buff Defense, but applies to more than 1 roll",,
Tier 1,10,Aid,Ally,Instant,Roll Influence for X,Influence,Heal Target up to X.,Exhaust,Balm/Pinch of help,x,,Replenish,Ally,Instant,,Influence,Target returns 1 card from discard.,Hand,2 Level Points,N/A,0,n/a,Refresh/Recharge,,,
Tier 1,11,Lunging Strike,Enemy,Instant,Attack,Weapon,Increase range by 5 feet and movement by 15 feet.   ,Discard,x,x,,Double Strike,Enemy,Instant,Attack ,Weapon, You may remove an Attack Token from the Target to Attack again.,Discard,2 Level Points,N/A,0,n/a,x,,,
Tier 1,12,Bolster,Self,1 Round,X is your Level,-,Add X to next Defense Value.,Discard,x,"similar to butter but is top, doesn't grant an Attack",,Baited Bash,Self,1 Round,,-,If your next Defense Value exceeds the next Attack Value against you the Attacker takes the difference in damage.,Discard,2 Level Points,N/A,0,n/a,x,,,
Tier 1,13,Bread,Self,Instant,Roll Influence for X,-,Add X to the next Influence Value. Choose 1: gain 25 movement or return a card from discard to your hand.,Discard,x,"seems fine, though if people don't recognize that they also need to defend against Influence Rolls, some people might not see the point",,Butter,Enemy,1 Round,Attack    X is your Level,Weapon,Either add X to next Attack Value or add X to your next Defense Value. ,Discard,2 Level Points,N/A,0,n/a,x,"similar to encourage but adds level instead of Influence, and works on self instead of ally, and gives an Attack",,
Tier 1,14,Smoke Screen,Area,X Rounds,X is your Level,-,"Pick a spot within X*5 feet. Creatures cannot see into, out of, or through a 15 ft. diameter area around this spot.",Exhaust,x,x,,Break Sight,Enemy,1 Round,Influence,Influence,On success the Target cannot target you with more than one of their actions per turn.,Hand,2 Level Points,N/A,0,n/a,Breaking Sight/Targeted Evasion,,,
Tier 1,15,Convince,Enemy,Instant,Influence,Influence,On success the Target is forced to perform an action defined by you. It cannot cause self harm or immediate danger to the Target.,Exhaust,Forcing Their Hand/Snag/Hitch,,,Foresight,Enemy,Instant,Influence,Influence,On success discard a card and gain knowledge of enemies availible actions.,Hand,2 Level Points,N/A,0,n/a,Foreknowledge/Read Like A Book/Good Guess,doesn't feel related to Convince particularly meaningfully,,
Tier 1,16,Imbued Strike,Enemy,Instant,Attack   X is your Level,Weapon,You may remove a Contact Token from the Target and deal an additional X damage. ,Discard,Last Stab/Desperate Push/Flaming Fervor,,,Conservative Cost,Enemy,Instant,Attack    X is Damage Dealt from the Attack,Weapon,Return X consumed tokens.,Exhaust,2 Level Points,N/A,0,n/a,Pay Day/Re-Use/Recycle/Second Wind/Once More,"except that they both use tokens, doesn't feel like it synergizes with Top ability",,
Tier 1,17,Pinned,Enemy,1 Round,Attack,Weapon,If your Attack Value deals damage you may instead remove a Mark from the Target. If you removed a Mark the Target their movement cannot exceed 0 on their next turn.,Discard,x,,,Murder Markings,Enemies,Instant,Attack    Roll Influence for X,Weapon,Attack up to X availible Targets. If damage from your Attack Value would be dealt then Mark that Target instead,Exhaust,2 Level Points,N/A,0,n/a,x,,,
Tier 1,18,Throw Projectiles,Enemy,1 Round,Attack    Roll Influence for X,Weapon,Consume an Attack Token. Add X * 5 to your weapons range on your next attack,Discard,Focused Strike/Eagle Eye/Big Stretch/Wave Strike,,,Heavy Hit,Enemy,Instant,Attack    Roll Influence for X,Weapon,Consume an unused Attack Token and then add X to Attack,Discard,2 Level Points,N/A,0,n/a,Weighty Strike/Huaaaggh!/Drop the Bass,,,
Tier 1,19,Demand Resilience,Ally,1 Round,Influence,Influence,Target adds your Influence Die to all their Defense Values,Exhaust,x,"similar to encourage but is top, only buffs Defense, and lasts multiple rounds",,Demand Weakness,Enemy,1 Round,Influence    X is your Level,Influence,If successful the Targets Attack Values are reduced by X.,Discard,2 Level Points,N/A,0,n/a,x,,,
